Stabr,area_name,Employed_2019,Unemployed_2019,Unemployment_rate_2019
FL,"Volusia County, FL","245,545","8,767",3.4
FL,"Wakulla County, FL","14,487",434,2.9
FL,"Walton County, FL","30,685",892,2.8
FL,"Washington County, FL","9,348",330,3.4
GA,Georgia,"4,935,310","175,008",3.4
GA,"Appling County, GA","8,945",361,3.9
GA,"Atkinson County, GA","4,552",143,3
GA,"Bacon County, GA","4,790",176,3.5
GA,"Baker County, GA","1,108",55,4.7
GA,"Baldwin County, GA","16,671",738,4.2
GA,"Banks County, GA","9,352",264,2.7
GA,"Barrow County, GA","39,247","1,138",2.8
GA,"Bartow County, GA","48,885","1,654",3.3
GA,"Ben Hill County, GA","5,053",295,5.5
GA,"Berrien County, GA","7,176",298,4
GA,"Bibb County, GA","65,249","2,647",3.9
GA,"Bleckley County, GA","4,303",228,5
GA,"Brantley County, GA","6,964",294,4.1
GA,"Brooks County, GA","6,668",233,3.4
GA,"Bryan County, GA","17,738",548,3
GA,"Bulloch County, GA","35,170","1,370",3.7
GA,"Burke County, GA","8,689",465,5.1
GA,"Butts County, GA","10,377",360,3.4
GA,"Calhoun County, GA","2,152",81,3.6
GA,"Camden County, GA","20,113",756,3.6
GA,"Candler County, GA","5,383",165,3
GA,"Carroll County, GA","53,325","1,885",3.4
GA,"Catoosa County, GA","32,518",999,3
GA,"Charlton County, GA","4,604",181,3.8
GA,"Chatham County, GA","135,052","4,605",3.3
GA,"Chattahoochee County, GA","1,906",91,4.6
GA,"Chattooga County, GA","9,795",512,5
GA,"Cherokee County, GA","132,118","3,696",2.7
GA,"Clarke County, GA","56,997","2,099",3.6
GA,"Clay County, GA",819,61,6.9
GA,"Clayton County, GA","131,980","5,816",4.2
GA,"Clinch County, GA","2,550",104,3.9
GA,"Cobb County, GA","412,592","12,575",3
GA,"Coffee County, GA","18,138",731,3.9
GA,"Colquitt County, GA","20,702",675,3.2
GA,"Columbia County, GA","72,860","2,274",3
GA,"Cook County, GA","7,718",270,3.4
GA,"Coweta County, GA","72,410","2,184",2.9
GA,"Crawford County, GA","5,404",201,3.6
GA,"Crisp County, GA","9,065",368,3.9
GA,"Dade County, GA","7,941",268,3.3
GA,"Dawson County, GA","11,971",349,2.8
GA,"Decatur County, GA","11,101",439,3.8
GA,"DeKalb County, GA","385,700","13,654",3.4
GA,"Dodge County, GA","6,700",381,5.4
GA,"Dooly County, GA","4,880",191,3.8
GA,"Dougherty County, GA","36,509","1,818",4.7
GA,"Douglas County, GA","70,640","2,577",3.5
GA,"Early County, GA","4,201",171,3.9
GA,"Echols County, GA","1,856",53,2.8
GA,"Effingham County, GA","30,000",889,2.9
GA,"Elbert County, GA","7,352",306,4
GA,"Emanuel County, GA","7,847",440,5.3
GA,"Evans County, GA","4,698",164,3.4
GA,"Fannin County, GA","11,132",380,3.3
GA,"Fayette County, GA","56,256","1,729",3
GA,"Floyd County, GA","42,455","1,689",3.8
GA,"Forsyth County, GA","118,737","3,339",2.7
GA,"Franklin County, GA","9,592",350,3.5
GA,"Fulton County, GA","537,605","19,349",3.5
GA,"Gilmer County, GA","11,444",417,3.5
GA,"Glascock County, GA","1,225",47,3.7
GA,"Glynn County, GA","38,039","1,306",3.3
GA,"Gordon County, GA","27,025",951,3.4
GA,"Grady County, GA","10,093",356,3.4
GA,"Greene County, GA","6,740",270,3.9
GA,"Gwinnett County, GA","474,882","14,728",3
GA,"Habersham County, GA","18,411",658,3.5
GA,"Hall County, GA","99,222","2,839",2.8
GA,"Hancock County, GA","2,312",135,5.5
GA,"Haralson County, GA","12,141",416,3.3
GA,"Harris County, GA","16,139",510,3.1
GA,"Hart County, GA","10,903",400,3.5
GA,"Heard County, GA","5,073",175,3.3
GA,"Henry County, GA","111,409","4,086",3.5
GA,"Houston County, GA","68,005","2,340",3.3
GA,"Irwin County, GA","3,172",156,4.7
GA,"Jackson County, GA","35,550",968,2.7
