Stabr,Area_name,POVALL_2019,PCTPOVALL_2019
IL,Edgar County,"2,220",13.2
IL,Edwards County,744,11.8
IL,Effingham County,"3,087",9.2
IL,Fayette County,"2,961",15.1
IL,Ford County,"1,256",10
IL,Franklin County,"6,199",16.4
IL,Fulton County,"4,181",13.3
IL,Gallatin County,911,19
IL,Greene County,"1,730",13.7
IL,Grundy County,"2,827",5.6
IL,Hamilton County,"1,017",12.7
IL,Hancock County,"2,149",12.3
IL,Hardin County,683,18
IL,Henderson County,724,11
IL,Henry County,"4,164",8.7
IL,Iroquois County,"3,083",11.6
IL,Jackson County,"13,551",25.4
IL,Jasper County,942,9.9
IL,Jefferson County,"5,267",14.9
IL,Jersey County,"2,171",10.4
IL,Jo Daviess County,"1,965",9.3
IL,Johnson County,"1,435",12.9
IL,Kane County,"43,305",8.2
IL,Kankakee County,"13,271",12.7
IL,Kendall County,"5,195",4
IL,Knox County,"8,490",18.6
IL,Lake County,"49,130",7.2
IL,La Salle County,"12,837",12.2
IL,Lawrence County,"2,442",18.4
IL,Lee County,"3,724",12
IL,Livingston County,"4,319",13
IL,Logan County,"3,124",12.8
IL,McDonough County,"6,134",23.3
IL,McHenry County,"16,380",5.4
IL,McLean County,"23,034",14.3
IL,Macon County,"16,762",16.7
IL,Macoupin County,"5,934",13.5
IL,Madison County,"28,284",10.9
IL,Marion County,"5,456",15
IL,Marshall County,"1,007",9
IL,Mason County,"1,592",12.1
IL,Massac County,"2,143",15.9
IL,Menard County,986,8.2
IL,Mercer County,"1,233",8.1
IL,Monroe County,"1,423",4.2
IL,Montgomery County,"4,140",16
IL,Morgan County,"4,209",13.8
IL,Moultrie County,"1,218",8.6
IL,Ogle County,"4,684",9.4
IL,Peoria County,"25,825",14.8
IL,Perry County,"2,650",14.4
IL,Piatt County,"1,054",6.5
IL,Pike County,"2,164",14.4
IL,Pope County,688,16.9
IL,Pulaski County,"1,171",22
IL,Putnam County,435,7.6
IL,Randolph County,"3,499",12.7
IL,Richland County,"1,980",13.1
IL,Rock Island County,"18,669",13.6
IL,St. Clair County,"33,979",13.3
IL,Saline County,"3,556",15.7
IL,Sangamon County,"23,367",12.2
IL,Schuyler County,753,11.3
IL,Scott County,545,11.2
IL,Shelby County,"2,000",9.4
IL,Stark County,587,11.2
IL,Stephenson County,"4,997",11.5
IL,Tazewell County,"10,576",8.2
IL,Union County,"2,835",17.2
IL,Vermilion County,"12,253",16.8
IL,Wabash County,"1,533",13.5
IL,Warren County,"1,805",11.4
IL,Washington County,"1,099",8.1
IL,Wayne County,"2,116",13.1
IL,White County,"1,906",14.5
IL,Whiteside County,"6,176",11.4
IL,Will County,"44,518",6.5
IL,Williamson County,"8,627",13.4
IL,Winnebago County,"44,613",16.1
IL,Woodford County,"2,269",6.1
IN,Indiana,"773,367",11.9
IN,Adams County,"4,444",12.6
IN,Allen County,"39,176",10.5
IN,Bartholomew County,"9,205",11.2
IN,Benton County,752,8.7
IN,Blackford County,"1,474",12.8
IN,Boone County,"4,619",6.9
IN,Brown County,"1,565",10.5
IN,Carroll County,"1,739",8.7
IN,Cass County,"4,630",12.6
